Line 415: p=1, b=3, s=0
Line 416: p=1, b=3, s=0
Line 417: p=1, b=4, s=0
Line 418: p=1, b=4, s=0
Line 419: p=1, b=4, s=0
Line 420: p=1, b=3, s=0
Line 421: p=1, b=2, s=0
Line 422: p=0, b=1, s=0
Line 423: p=0, b=1, s=0
Line 424: p=0, b=1, s=0
Line 425: p=0, b=2, s=0
Line 426: p=0, b=3, s=0
Line 427: p=0, b=3, s=0
Line 428: p=0, b=3, s=0
Line 429: p=0, b=3, s=0
Line 430: p=0, b=3, s=0
Line 431: p=0, b=4, s=0
Line 432: p=0, b=4, s=0
Line 433: p=0, b=4, s=0
Line 434: p=0, b=3, s=0
Line 435: p=0, b=2, s=0
Line 436: p=0, b=1, s=0
Line 437: p=0, b=1, s=0
Line 438: p=1, b=2, s=0
Line 439: p=1, b=2, s=0
Line 440: p=1, b=2, s=0
Line 441: p=0, b=1, s=0
Line 442: p=1, b=2, s=0
Line 443: p=1, b=2, s=0
Line 444: p=1, b=2, s=0
Line 445: p=0, b=1, s=0
Line 446: p=1, b=2, s=0
Line 447: p=1, b=2, s=0
Line 448: p=1, b=2, s=0
Line 449: p=0, b=1, s=0
Line 450: p=1, b=2, s=0
Line 451: p=1, b=2, s=0
Line 452: p=1, b=2, s=0
Line 453: p=0, b=1, s=0
Line 454: p=0, b=1, s=0
Line 455: p=0, b=1, s=0
Line 456: p=1, b=2, s=0
Line 457: p=1, b=2, s=0
Line 458: p=1, b=2, s=0
Line 459: p=0, b=1, s=0
Line 460: p=1, b=2, s=0
Line 461: p=1, b=2, s=0
Line 462: p=1, b=2, s=0
Line 463: p=0, b=1, s=0
Line 464: p=1, b=2, s=0
Line 465: p=1, b=2, s=0
Line 466: p=1, b=2, s=0
Line 467: p=0, b=1, s=0
Line 468: p=1, b=2, s=0
Line 469: p=1, b=2, s=0
Line 470: p=1, b=2, s=0
Line 471: p=0, b=1, s=0
Line 472: p=0, b=1, s=0
Line 473: p=1, b=2, s=0
Line 474: p=1, b=2, s=0
Line 475: p=1, b=2, s=0
Line 476: p=0, b=1, s=0
Line 477: p=0, b=1, s=0
Line 478: p=0, b=1, s=0
Line 479: p=0, b=1, s=0
Line 480: p=0, b=0, s=0
Line 481: p=0, b=0, s=0
Line 482: p=0, b=1, s=0
Line 483: p=0, b=2, s=0
Line 484: p=0, b=3, s=0
Line 485: p=0, b=3, s=0
Line 486: p=0, b=3, s=0
Line 487: p=0, b=4, s=0
Line 488: p=0, b=4, s=0
Line 489: p=0, b=4, s=0
Line 490: p=0, b=3, s=0
Line 491: p=0, b=2, s=0
Line 492: p=0, b=3, s=0
Line 493: p=0, b=3, s=0
Line 494: p=0, b=2, s=0
Line 495: p=0, b=2, s=0
Line 496: p=0, b=1, s=0
Line 497: p=0, b=1, s=0
Line 498: p=0, b=1, s=0
Line 499: p=0, b=1, s=0
Line 500: p=0, b=1, s=0
Line 501: p=1, b=2, s=0
Line 502: p=1, b=2, s=0
Line 503: p=1, b=2, s=0
Line 504: p=0, b=1, s=0
Line 505: p=0, b=1, s=0
Line 506: p=1, b=2, s=0
Line 507: p=1, b=2, s=0
Line 508: p=1, b=3, s=0
Line 509: p=1, b=3, s=0
Line 510: p=1, b=3, s=1
Line 511: p=1, b=3, s=1
Line 512: p=1, b=3, s=1
Line 513: p=1, b=3, s=1
Line 514: p=1, b=3, s=0
Line 515: p=1, b=2, s=0
Line 516: p=1, b=3, s=0
Line 517: p=1, b=3, s=0
Line 518: p=1, b=3, s=0
Line 519: p=1, b=4, s=0
Line 520: p=1, b=4, s=0
Line 521: p=1, b=5, s=0
Line 522: p=1, b=6, s=0
Line 523: p=1, b=6, s=0
Line 524: p=1, b=6, s=0
Line 525: p=1, b=5, s=0
Line 526: p=1, b=4, s=0
Line 527: p=1, b=3, s=0
Line 528: p=1, b=4, s=0
Line 529: p=1, b=4, s=0
Line 530: p=1, b=4, s=0
Line 531: p=1, b=4, s=0
Line 532: p=1, b=3, s=0
Line 533: p=1, b=2, s=0
Line 534: p=0, b=1, s=0
Line 535: p=0, b=1, s=0
Line 536: p=0, b=1, s=0
Line 537: p=0, b=1, s=0
Line 538: p=0, b=1, s=0
Line 539: p=0, b=2, s=0
Line 540: p=0, b=2, s=0
Line 541: p=0, b=2, s=0
Line 542: p=1, b=3, s=0
Line 543: p=1, b=3, s=0
Line 544: p=1, b=4, s=0
Line 545: p=1, b=4, s=0
Line 546: p=1, b=3, s=0
Line 547: p=0, b=2, s=0
Line 548: p=0, b=1, s=0
Line 549: p=0, b=0, s=0
Line 550: p=0, b=0, s=0
Line 551: p=0, b=0, s=0
Line 552: p=0, b=1, s=0
Line 553: p=0, b=2, s=0
Line 554: p=0, b=2, s=0
Line 555: p=0, b=3, s=0
Line 556: p=0, b=3, s=0
Line 557: p=0, b=4, s=0
Line 558: p=0, b=4, s=0
Line 559: p=0, b=4, s=0
Line 560: p=0, b=5, s=0
Line 561: p=0, b=5, s=0
Line 562: p=0, b=5, s=0
Line 563: p=0, b=5, s=0
Line 564: p=0, b=5, s=0
Line 565: p=0, b=4, s=0
Line 566: p=0, b=5, s=0
Line 567: p=0, b=5, s=0
Line 568: p=0, b=4, s=0
Line 569: p=0, b=4, s=0
Line 570: p=0, b=4, s=0
Line 571: p=0, b=4, s=0
Line 572: p=0, b=3, s=0
Line 573: p=0, b=2, s=0
Line 574: p=0, b=2, s=0
Line 575: p=0, b=1, s=0
Line 576: p=0, b=1, s=0
Line 577: p=0, b=1, s=0
Line 578: p=0, b=1, s=0
Line 579: p=0, b=2, s=0
Line 580: p=0, b=3, s=0
Line 581: p=0, b=3, s=0
Line 582: p=0, b=3, s=0
Line 583: p=0, b=3, s=0
Line 584: p=0, b=3, s=0
Line 585: p=0, b=2, s=0
Line 586: p=0, b=1, s=0
Line 587: p=0, b=1, s=0
Line 588: p=0, b=1, s=0
Line 589: p=0, b=1, s=0
Line 590: p=0, b=2, s=0
Line 591: p=0, b=2, s=0
Line 592: p=0, b=3, s=0
Line 593: p=0, b=4, s=0
Line 594: p=0, b=4, s=0
Line 595: p=0, b=4, s=0
Line 596: p=0, b=4, s=0
Line 597: p=0, b=4, s=0
Line 598: p=0, b=3, s=0
Line 599: p=0, b=2, s=0
Line 600: p=0, b=1, s=0
Line 601: p=0, b=1, s=0
Line 602: p=0, b=1, s=0
Line 603: p=0, b=0, s=0
Line 604: p=0, b=0, s=0
Line 605: p=0, b=1, s=0
Line 606: p=0, b=1, s=0
Line 607: p=0, b=2, s=0
Line 608: p=0, b=2, s=0
Line 609: p=0, b=2, s=0
Line 610: p=0, b=2, s=0
Line 611: p=0, b=2, s=0
Line 612: p=0, b=2, s=0
Line 613: p=0, b=2, s=0
Line 614: p=0, b=2, s=0
Line 615: p=0, b=2, s=0
Line 616: p=0, b=2, s=0
Line 617: p=0, b=1, s=0
Line 618: p=0, b=1, s=0
Line 619: p=0, b=1, s=0
Line 620: p=0, b=1, s=0
Line 621: p=1, b=2, s=0
Line 622: p=1, b=3, s=0
Line 623: p=1, b=3, s=0
Line 624: p=1, b=3, s=0
Line 625: p=1, b=3, s=0
Line 626: p=1, b=2, s=0
Line 627: p=0, b=1, s=0
Line 628: p=0, b=1, s=0
Line 629: p=0, b=0, s=0
Line 630: p=0, b=0, s=0
Line 631: p=0, b=1, s=0
Line 632: p=0, b=1, s=0
Line 633: p=0, b=1, s=0
Line 634: p=0, b=1, s=0
Line 635: p=0, b=1, s=0
Line 636: p=0, b=1, s=0
Line 637: p=0, b=1, s=0
Line 638: p=0, b=1, s=0
Line 639: p=0, b=1, s=0
Line 640: p=0, b=0, s=0
Line 641: p=0, b=0, s=0
Line 642: p=0, b=0, s=0
Line 643: p=0, b=1, s=0
Line 644: p=0, b=1, s=0
Line 645: p=0, b=1, s=0
Line 646: p=0, b=1, s=0
Line 647: p=0, b=1, s=0
Line 648: p=0, b=0, s=0
Line 649: p=0, b=0, s=0
Line 650: p=0, b=1, s=0
Line 651: p=0, b=1, s=0
Line 652: p=0, b=1, s=0
Line 653: p=0, b=1, s=0
Line 654: p=0, b=1, s=0
Line 655: p=0, b=0, s=0
Line 656: p=0, b=0, s=0
Line 657: p=0, b=1, s=0
Line 658: p=0, b=1, s=0
Line 659: p=0, b=1, s=0
Line 660: p=0, b=1, s=0
Line 661: p=0, b=1, s=0
Line 662: p=0, b=0, s=0
Line 663: p=0, b=0, s=0
Line 664: p=0, b=1, s=0
Line 665: p=0, b=1, s=0
Line 666: p=0, b=1, s=0
Line 667: p=0, b=1, s=0
Line 668: p=0, b=1, s=0
Line 669: p=0, b=1, s=0
Line 670: p=0, b=1, s=0
Line 671: p=0, b=1, s=0
Line 672: p=0, b=1, s=0
Line 673: p=0, b=1, s=0
Line 674: p=0, b=1, s=0
Line 675: p=0, b=1, s=0
Line 676: p=0, b=1, s=0
Line 677: p=0, b=1, s=0
Line 678: p=0, b=1, s=0
Line 679: p=0, b=1, s=0
Line 680: p=0, b=1, s=0
Line 681: p=0, b=0, s=0
Line 682: p=0, b=0, s=0
Line 683: p=0, b=1, s=0
Line 684: p=0, b=1, s=0
Line 685: p=0, b=1, s=0
Line 686: p=0, b=1, s=0
Line 687: p=0, b=1, s=0
Line 688: p=0, b=1, s=0
Line 689: p=0, b=1, s=0
Line 690: p=0, b=1, s=0
Line 691: p=0, b=1, s=0
Line 692: p=0, b=1, s=0
Line 693: p=0, b=1, s=0
Line 694: p=0, b=1, s=0
Line 695: p=0, b=1, s=0
Line 696: p=0, b=1, s=0
Line 697: p=0, b=1, s=0
Line 698: p=0, b=1, s=0
Line 699: p=0, b=1, s=0
